day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,9/20,9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,
2,1,A,92313,15,RB2105,water,0,9/20/2013,A1,2,0.9052,0.8662,0.005616667,,-0.009966667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,B,92313,15,RB2105,water,0,9/20/2013,B1,1,0.8999,0.8657,0.006433333,,-0.020433333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,C,92313,15,RB2105,water,0,9/20/2013,C1,5,0.9052,0.8488,0.005726667,,-0.007466667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,D,92313,15,RB2105,water,0,9/20/2013,D1,8,0.9245,0.8498,0.005866667,,-0.004541667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,E,92313,15,RB2105,water,0,9/20/2013,E1,8,0.9202,0.8445,0.005991667,,-0.005204167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,F,92313,15,RB2105,water,0,9/20/2013,F1,10,0.9216,0.8417,0.005213333,,-0.004443333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,G,92313,15,RB2105,water,0,9/20/2013,G1,4,0.9262,0.8706,0.006958333,,-0.003883333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,1,H,92313,15,RB2105,water,0,9/20/2013,H1,5,0.9552,0.8969,0.006106667,,0.8969,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
