day 0,,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,1,A,,,,,,,A1,20,1.1155,0.9928,0.002411667,,-0.002853333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,B,0,0,0,0,0,,B1,9,1.1348,1.0659,-0.000618519,,0.001781481,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,C,0,0,0,0,0,,C1,3,1.1405,1.0483,0.005911111,,-0.000522222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,D,0,0,0,0,0,,D1,10,1.1385,1.0686,-0.000456667,,0.001873333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,E,0,0,0,0,0,,E1,8,1.1328,1.0451,0.001654167,,-0.000595833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,F,0,0,0,0,0,,F1,6,1.1341,1.0215,0.006355556,,-0.004727778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,G,0,0,0,0,0,,G1,10,1.145,1.0561,0.001443333,,0.000623333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,1,H,0,0,no_worms,"10mgml, selflysis",0,,H1,0,1.1451,1.0736,0.0715,,1.0736,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,A,0,0,,,,,A2,10,1.145,1.0564,0.001413333,,0.000653333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,B,0,0,0,0,0,,B2,6,1.1043,1.0275,0.000388889,,-0.003727778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,C,0,0,0,0,0,,C2,9,1.1045,1.0218,0.000914815,,-0.003118519,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,D,0,0,0,0,0,,D2,8,1.1088,1.032,0.000291667,,-0.002233333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,E,0,0,0,0,0,,E2,18,1.118,1.0578,-0.000792593,,0.000440741,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,F,0,0,0,0,0,,F2,15,1.1288,1.0816,-0.001817778,,0.002115556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,G,0,0,0,0,0,,G2,9,1.1322,1.0616,-0.00042963,,0.001303704,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,2,H,0,0,no_worms,"10mgml, selflysis",0,,H2,0,1.1237,1.0404,0.0833,,1.0404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,3,A,0,0,,,,,A3,12,1.1235,1.0509,-0.000155556,,8.61111E-05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,3,B,0,0,0,0,0,,B3,8,1.1263,1.0576,-0.000720833,,0.000966667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,3,C,0,0,0,0,0,,C3,7,1.1385,1.0852,-0.00302381,,0.005047619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
0,3,D,0,0,0,0,0,,D3,13,1.1233,1.0072,0.003202564,,-0.003282051,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
