day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
,,,,,,,,,,X0,9/20,9/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red fluorescence,,,,,,,,,,,,,
plate,col,row,date,set,strain,Drug,conc,add,well,X0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,
1,1,A,92313,15,N2,water,0,9/20/2013,A1,5,0.9002,0.8412,0.006246667,,-0.016906667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,B,92313,15,N2,water,0,9/20/2013,B1,12,0.889,0.7983,0.005244444,,-0.010619444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,C,92313,15,N2,water,0,9/20/2013,C1,5,0.911,0.8523,0.006186667,,-0.014686667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,D,92313,15,N2,water,0,9/20/2013,D1,6,0.9437,0.8796,0.006055556,,-0.007688889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,E,92313,15,N2,water,0,9/20/2013,E1,6,0.937,0.8761,0.005522222,,-0.008272222,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,F,92313,15,N2,water,0,9/20/2013,F1,8,0.9343,0.8608,0.005716667,,-0.008116667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,G,92313,15,N2,water,0,9/20/2013,G1,8,0.932,0.8573,0.005866667,,-0.008554167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1,H,92313,15,no_worms,"10mgml, selflysis",0,9/20/2013,H1,0,0.9558,0.9282,0.0276,,0.9282,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
